year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
70th,2024-12-13,main,E,1,Geography,Economic,simple_mcq,4,,,,FALSE,FALSE,D,provisional,medium,TRUE,minerals — could be Sci & Tech/Chemistry,,NCERT-level,Which is an iron ore (Bauxite/Cinnabar/Pyrite/Limonite)
70th,2024-12-13,main,E,2,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Rock formed from cooling/solidifying lava (Igneous)
70th,2024-12-13,main,E,3,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Object of 'cut motion' in Parliament
70th,2024-12-13,main,E,4,History,Modern,simple_mcq,4,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,When British shifted capital to Delhi (1912)
70th,2024-12-13,main,E,5,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Anglo-Indian representation in Lok Sabha (104th CAA)
70th,2024-12-13,main,E,6,Current Affairs,International,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,TRUE,could be Economy,10,current_affairs,Venue of 13th WTO Ministerial Feb 2024 (Abu Dhabi)
70th,2024-12-13,main,E,7,Current Affairs,Sports,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,6,current_affairs,French Open 2024 Men's Singles winner (Alcaraz)
70th,2024-12-13,main,E,8,Current Affairs,National,simple_mcq,4,,,,FALSE,FALSE,B,provisional,hard,TRUE,could be Polity,9,current_affairs,Postal-ballot age after Mar 2024 change (85)
70th,2024-12-13,main,E,9,Economy,Five-year plans & policy,simple_mcq,4,,,,FALSE,FALSE,A,provisional,hard,TRUE,could be Current Affairs,,current_affairs,Budget 2024-25 oilseed NOT under Atmanirbharta (Coconut)
70th,2024-12-13,main,E,10,Science & Technology,Chemistry,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Which pairs give displacement reactions (AgNO3 + copper)
70th,2024-12-13,main,E,11,Bihar-Specific,History & Culture,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Bihula Festival — which Bihar district (Bhagalpur)
70th,2024-12-13,main,E,12,Science & Technology,Physics,simple_mcq,4,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Heat transfer needing no medium (Radiation)
70th,2024-12-13,main,E,13,Science & Technology,Biology,simple_mcq,4,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,NCERT-level,Which acid is secreted in the stomach (Hydrochloric)
70th,2024-12-13,main,E,14,History,Modern,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,"Ramkrishna Mission founded by (Swami Vivekanand, 1897)"
